nbJobs = 80;
nbMchs = 80;

//TIEMPOS DE PROCESO 80x80-03

OpDurations = [
[4,90,12,80,5,72,77,97,46,1,99,82,9,20,17,92,82,20,67,73,85,42,25,52,6,75,82,92,36,66,79,93,65,20,9,88,75,65,84,65,93,84,26,55,49,16,6,66,1,20,11,47,81,2,88,97,72,88,17,5,83,88,43,27,56,12,86,76,91,68,24,27,63,60,50,52,99,18,30,64]
[22,63,88,71,6,99,46,21,77,98,85,30,73,3,48,96,95,6,88,31,16,87,96,15,91,78,30,58,66,69,69,20,3,77,67,21,68,24,7,55,3,80,46,15,40,77,25,92,39,68,74,83,17,78,93,88,92,61,65,30,59,42,31,39,65,48,89,6,93,67,72,11,56,82,82,68,40,18,96,92]
[17,55,6,82,3,76,35,19,87,54,83,42,27,91,15,4,2,73,90,79,93,53,50,99,82,38,75,97,61,58,14,86,9,10,65,42,69,12,47,91,95,23,71,33,31,13,27,52,35,3,31,51,38,57,5,46,56,61,6,84,16,16,75,19,33,50,74,55,13,87,40,49,90,67,36,37,1,3,32,1]
[79,18,16,19,12,70,98,85,1,35,4,99,67,66,41,18,85,81,12,72,55,47,30,54,86,6,98,2,53,94,66,4,50,90,56,23,66,80,95,10,90,67,5,54,61,88,56,39,64,8,47,39,37,85,48,86,76,53,6,9,57,29,79,8,67,87,93,9,39,64,36,40,56,60,65,2,73,54,43,12]
[66,67,83,24,21,67,95,58,40,63,2,75,95,86,21,17,33,37,73,6,91,25,73,35,98,27,80,80,65,60,15,79,70,56,95,77,48,84,14,83,92,91,4,56,42,33,86,36,73,66,86,32,11,31,98,98,95,35,69,85,59,1,65,66,72,92,87,87,36,13,58,34,60,3,27,26,47,73,88,68]
[74,84,60,3,5,88,11,69,10,98,51,3,28,7,57,19,27,62,46,90,98,30,8,80,54,9,32,70,65,78,88,52,71,36,10,67,98,34,79,77,5,83,99,58,88,20,16,72,35,84,12,40,20,7,97,3,58,34,14,49,42,29,63,68,38,10,42,57,1,50,53,83,56,73,85,38,18,14,99,16]
[44,99,52,62,64,63,44,81,77,37,14,55,80,52,22,87,34,10,27,42,75,3,66,5,61,47,78,23,79,68,77,61,63,54,37,49,15,18,28,77,37,44,67,85,50,53,61,81,32,84,7,23,82,4,82,14,50,18,74,80,63,87,97,10,43,91,34,54,59,87,63,65,43,25,83,69,79,43,65,78]
[24,23,92,14,30,89,43,11,10,66,50,96,31,69,47,33,29,68,92,24,12,78,8,92,74,23,63,18,99,73,66,92,8,93,77,68,90,39,48,84,91,65,54,43,96,16,18,48,85,69,54,2,76,27,74,55,43,88,28,45,53,61,23,74,28,71,48,8,26,80,38,48,24,85,38,88,87,98,47,6]
[17,35,59,21,34,46,85,15,89,66,17,96,67,4,66,48,27,92,24,56,93,65,27,51,40,72,91,55,52,72,74,75,36,5,55,25,94,10,27,40,46,21,71,51,97,15,76,79,41,2,65,14,27,30,17,77,82,35,48,15,57,26,75,35,32,59,32,96,56,31,28,74,39,84,93,28,16,26,9,15]
[80,28,41,37,34,96,62,12,32,96,91,16,11,88,5,69,91,89,37,12,31,14,62,39,42,52,10,87,81,23,65,59,1,47,39,27,51,90,32,96,18,42,16,75,89,87,15,68,34,52,25,5,87,53,67,58,82,99,70,7,64,46,12,16,33,92,58,41,13,80,19,59,47,52,90,79,93,50,95,31]
[61,61,89,50,42,53,82,21,7,51,1,58,38,4,35,82,84,18,33,29,85,46,24,23,14,8,3,65,92,41,77,68,51,67,24,57,91,62,13,58,79,71,51,91,31,90,45,93,45,45,22,68,21,65,15,90,27,5,71,6,9,70,62,20,73,70,70,96,72,29,95,69,44,91,11,73,41,83,25,25]
[33,38,70,35,59,24,57,22,37,24,55,61,1,33,17,65,19,13,92,19,69,99,12,61,44,84,27,55,16,56,26,46,37,74,97,70,46,46,94,63,44,13,38,62,53,94,82,39,68,16,41,13,58,9,94,12,63,50,83,7,95,75,8,22,39,37,78,83,42,53,30,88,38,37,97,31,99,41,71,67]
[79,96,36,62,85,26,64,91,57,70,85,56,27,7,8,92,92,7,51,57,97,36,45,91,12,21,49,58,46,59,62,77,7,18,50,39,83,83,92,76,1,66,93,10,13,4,84,63,91,80,92,75,30,62,14,79,90,74,83,5,97,64,81,36,36,32,3,77,36,76,69,13,12,7,83,73,68,17,74,1]
[19,73,61,66,97,91,69,18,60,10,81,57,30,99,81,85,54,42,59,18,72,39,9,8,8,52,30,63,1,74,20,40,50,69,79,61,41,33,51,90,86,20,1,9,38,48,24,82,45,82,38,8,91,84,49,50,27,31,48,97,77,78,21,66,65,30,92,75,30,98,12,3,50,86,63,5,22,22,51,28]
[99,80,24,77,50,20,4,51,82,46,34,94,37,93,41,50,92,72,56,88,88,9,4,92,72,21,13,16,76,78,38,35,68,66,93,71,59,44,98,13,93,33,54,54,93,36,60,27,80,4,13,64,16,97,28,92,40,31,51,43,98,1,63,55,27,67,34,61,41,4,61,52,41,26,79,30,69,53,66,45]
[93,12,9,78,90,49,52,2,45,59,70,87,2,12,58,56,71,15,85,4,16,29,2,11,89,89,18,96,14,4,94,46,24,23,62,44,64,62,8,15,4,91,48,44,52,47,53,53,42,71,83,94,21,49,29,39,55,59,21,4,76,40,9,27,58,10,8,82,41,29,39,28,95,82,47,37,7,64,27,97]
[68,57,99,58,80,59,84,64,26,36,75,32,49,87,31,30,24,73,71,97,54,35,44,44,96,29,80,9,77,14,35,23,45,1,10,23,12,86,93,30,29,11,76,23,69,16,11,4,18,70,37,60,17,95,64,36,4,64,58,41,1,44,50,19,28,83,46,63,53,14,31,37,52,13,88,16,79,11,42,10]
[96,13,31,22,77,96,59,99,77,9,30,18,22,61,81,15,59,3,72,88,50,68,20,13,23,11,68,69,60,42,32,83,59,20,97,28,46,71,41,86,70,24,93,28,91,37,96,39,15,44,65,24,73,4,35,35,21,35,5,73,23,36,89,58,98,33,11,70,26,96,78,8,69,49,99,22,79,61,44,22]
[93,67,87,47,71,41,39,52,51,46,4,61,64,41,96,28,15,94,47,38,20,11,80,21,22,4,26,90,94,46,54,62,95,96,89,77,64,85,21,53,79,26,81,93,80,84,81,73,40,79,27,85,33,45,41,97,83,14,45,97,35,66,43,22,75,20,2,61,72,10,77,62,91,25,20,61,57,36,78,43]
[92,84,92,29,59,2,51,76,46,78,62,52,18,71,23,25,78,9,43,89,94,26,90,59,34,11,33,53,6,69,97,89,50,1,65,48,62,24,89,70,81,60,48,28,64,13,82,45,25,37,33,14,7,10,45,29,77,88,69,36,83,10,52,42,70,12,38,10,31,20,68,84,82,30,40,2,65,47,86,17]
[19,14,6,8,18,18,45,42,49,35,55,10,50,98,42,65,90,81,46,8,42,78,74,91,95,28,38,63,77,76,43,30,69,28,45,97,44,62,70,68,21,65,56,65,16,37,64,37,22,80,72,8,1,34,42,89,71,71,77,49,23,30,99,44,62,3,11,69,42,58,33,4,12,54,85,30,35,30,75,3]
[98,89,42,32,65,41,36,55,94,88,76,15,10,98,98,3,27,58,81,31,61,55,77,53,97,70,28,1,64,46,95,80,14,53,25,41,67,64,75,40,39,8,77,59,64,27,51,39,52,85,5,49,55,41,69,7,20,63,12,77,94,51,68,16,22,96,53,37,18,12,31,88,3,42,69,89,71,34,97,13]
